361
1,5
1,8
1,18
1,20
1,22
1,27
1,28
1,29
1,38
1,40
1,41
1,49
1,50
2,3
2,4
2,10
2,13
2,26
2,30
2,31
2,35
2,36
2,46
2,50
3,4
3,7
3,10
3,13
3,30
3,31
3,35
3,36
3,43
3,46
3,48
3,50
4,7
4,9
4,10
4,13
4,30
4,31
4,35
4,39
4,43
4,46
4,48
5,8
5,12
5,18
5,20
5,22
5,27
5,28
5,29
5,38
5,40
5,41
5,47
5,49
5,50
6,11
6,19
7,12
7,30
7,43
7,48
8,10
8,12
8,18
8,27
8,28
8,29
8,35
8,38
8,40
8,41
8,50
9,14
9,39
9,43
10,12
10,13
10,26
10,30
10,31
10,35
10,36
10,46
10,48
10,50
11,17
11,20
11,28
11,37
11,47
11,49
12,25
12,27
12,30
12,31
12,35
12,38
12,40
12,48
12,50
13,26
13,30
13,31
13,35
13,46
13,48
14,39
14,43
18,20
18,22
18,27
18,28
18,29
18,32
18,38
18,40
18,41
18,49
18,50
20,22
20,28
20,47
20,49
21,28
21,32
22,27
22,28
22,41
22,44
22,47
22,49
24,27
24,44
26,31
26,35
26,46
27,28
27,29
27,40
27,41
27,44
27,50
28,29
28,32
28,38
28,40
28,41
28,47
28,49
28,50
29,32
29,36
29,37
29,40
29,41
29,49
29,50
30,31
30,35
30,46
30,48
31,35
31,46
31,48
31,50
32,37
33,34
33,47
35,36
35,46
35,48
35,50
36,41
36,50
37,49
38,40
38,41
38,50
39,43
39,48
40,41
40,50
41,50
43,48
46,48
47,49
51,53
51,87
52,57
52,66
52,76
53,77
53,78
53,87
54,70
54,81
54,90
55,59
55,76
56,67
56,91
56,95
56,97
58,94
59,66
59,76
59,77
59,87
62,79
62,97
64,74
64,79
64,92
66,76
66,87
67,85
68,83
68,93
68,100
69,88
70,81
70,82
70,83
70,90
70,93
71,128
71,139
72,83
72,98
74,92
75,76
75,98
76,87
77,87
79,92
79,98
80,82
81,82
81,90
83,93
83,100
84,134
89,95
89,96
89,97
89,100
90,93
90,95
91,95
92,98
93,95
93,100
95,96
95,97
95,100
96,97
96,100
97,100
102,114
102,122
102,143
102,150
104,117
104,129
104,138
105,129
105,133
106,123
108,131
111,148
112,148
113,140
113,141
114,122
114,143
116,149
117,138
121,125
121,141
121,144
121,145
122,143
124,127
124,147
125,144
126,130
127,128
127,139
128,139
128,150
129,133
137,149
139,150
141,144
141,145
142,146
143,150
144,145
1,15
1,16
1,23
1,42
1,45
51,58
51,94
51,60
51,61
51,63
51,65
51,69
51,88
71,73
71,84
71,134
51,86
51,99
71,101
71,103
71,104
71,138
71,117
71,129
71,133
71,105
71,106
71,123
71,107
71,108
71,131
71,109
71,110
71,111
71,148
71,112
71,113
71,141
71,145
71,144
71,125
71,121
71,140
71,115
71,116
71,149
71,137
71,118
71,119
71,120
71,126
71,130
71,132
71,135
71,136
71,142
71,146
